"";"spearman";"p-value";"r^2"
"taxa.labels";0,559;0;0,202
"richness";0,626;0;0,252
"frequency";0,39;0,001;0,211
"sample.pool";0,611;0;0,263
"phylogeny.pool";0,574;0;0,212
"independentswap";0,579;0;0,189
"trialswap";0,553;0;0,239
"taxa.labels.a";0,585;0;0,249
"richness.a";0,63;0;0,285
"frequency.a";0,55;0;0,278
"sample.pool.a";0,637;0;0,281
"phylogeny.pool.a";0,582;0;0,244
"independentswap.a";0,467;0;0,209
"trialswap.a";0,501;0;0,274
